customer_id,last_name,first_name,middle_name,phone_number,birth_dt,address
10760,Пантелеев,Макар,Александрович,897935,1997-10-16,Люберцы
45933,Толкачева,Амелия,Тимофеевна,852832,1948-10-11,Грозный
46175,Сергеева,Ксения,Захаровна,861185,1946-05-29,Новошахтинск
91618,Михайлова,Кристина,Андреевна,852956,1940-04-18,Нальчик
105077,Сидоров,Евгений,Дмитриевич,846586,1961-03-17,Абакан
106946,Мартынов,Лев,Данильевич,840652,1977-03-20,Златоуст
113347,Беликова,Вера,Александровна,893237,1969-01-15,Черкесск
161844,Зайцева,Елизавета,Леоновна,879781,1960-02-12,Зеленодольск
207098,Виноградова,Ева,Давидовна,804417,1940-07-06,Минеральные Воды
209740,Романов,Арсений,Платонович,895887,1987-07-21,Владикавказ
219455,Самойлов,Ярослав,Владиславович,879407,1951-06-26,Железногорск (Курская область)
252143,Хохлова,Мирослава,Матвеевна,826156,1978-02-09,Саров
258432,Чернов,Владимир,Романович,856417,1999-02-12,Архангельск
263450,Дроздов,Богдан,Демидович,801496,1943-08-15,Евпатория
269301,Исаев,Эрик,Иванович,886062,1945-12-13,Балашов
271207,Селиванова,Елизавета,Матвеевна,862885,2001-11-05,Южно-Сахалинск
288916,Зверев,Тимофей,Ростиславович,864328,1978-05-23,Рыбинск
323076,Алексеев,Макар,Артёмович,801799,1962-03-01,Домодедово
327660,Иванов,Вадим,Львович,889948,1978-01-09,Сызрань
339581,Панин,Алексей,Владиславович,883332,1968-05-22,Александров
380443,Михайлова,Николь,Кирилловна,851869,1996-05-20,Всеволожск
398880,Широкова,София,Николаевна,854632,1961-02-09,Михайловск (Ставропольский край)
400916,Соловьева,Кира,Михайловна,839640,1948-12-23,Ессентуки
404164,Ананьев,Демид,Матвеевич,899795,1987-11-01,Брянск
436078,Овчинникова,Ульяна,Марковна,828072,2000-05-30,Бугульма
449278,Старостина,Мария,Михайловна,809227,1972-01-22,Стерлитамак
455715,Смирнов,Богдан,Елисеевич,866323,1952-06-04,Тюмень
517697,Виноградов,Павел,Всеволодович,822866,1974-10-25,Краснодар
553536,Соловьева,Маргарита,Ивановна,810454,1964-12-20,Альметьевск
